620  3  0
   1      77    79    80
   2      16    14    61
   3      43    56    54
   4       8    31    33
   5      72   163    25
   6     112    91   120
   7      24    11    35
   8      31     8     9
   9      79    69    80
  10      36    51    16
  11      12    11    24
  12      12     9     8
  13     135    29    10
  14       8    33    26
  15       8    23    12
  16      15    34    24
  17      24    28    12
  18      31     9    63
  19      52     6    21
  20     147   149   151
  21      76   155    20
  22      29    15    35
  23      30    62    54
  24      63    17    42
  25     156    76    77
  26      31    53    48
  27     135   134    34
  28      35    38    51
  29      36    20    29
  30      60    54    56
  31      18    36    61
  32     247   236   248
  33      38    40    46
  34      82    70    72
  35       8    26    23
  36      15    29   135
  37      50    37    46
  38      59     7    60
  39      50    40    21
  40      32    43    62
  41      48    33    31
  42      24    34   139
  43      23    26    39
  44     162    84    66
  45     128    75    53
  46      77    61    14
  47      35    11    38
  48      42    25    73
  49      39    40    23
  50      24   139    28
  51      25    17    72
  52      31    42    53
  53      12    28     9
  54      19    62    30
  55      27    47    64
  56      75    48    53
  57     104    91   112
  58       7    26    49
  59      20    18    76
  60      80   156    77
  61      23    11    12
  62      29    20    10
  63      18    20    36
  64      68    95    90
  65      46    37    16
  66      39    21    40
  67      23    40    11
  68      50    21     6
  69      16    51    46
  70      35    36    29
  71      11    40    38
  72      39    26     7
  73      53    42    73
  74       7    49    30
  75      17    63    28
  76      65    67    33
  77      58    64    47
  78     270   269   263
  79      62    43    54
  80     255   247   262
  81      28    45    17
  82      35    15    24
  83      33    49    26
  84      55    43    32
  85      74     5   125
  86      37    50     6
  87      40    50    46
  88      35    51    36
  89      38    46    51
  90      19    30    67
  91      58    56    64
  92      64    55    27
  93     255   256    19
  94     119   236   103
  95      67    30    49
  96      55    41    27
  97       7    54    60
  98      52    58    47
  99     256   265   263
 100       7    30    54
 101      52    21    58
 102      39    59    21
 103       7    59    39
 104      58    21    59
 105      56    58    60
 106      59    60    58
 107     104    89    91
 108      25     5    74
 109      32   269   291
 110      84    85    66
 111      28    63     9
 112      36    16    61
 113      75   235    65
 114      69    90    80
 115      67    49    33
 116      65    33    48
 117     336   337   333
 118      82    17    45
 119      55    64    56
 120     152   148   150
 121      75   128    44
 122      91    89    97
 123      42    17    25
 124      31    63    42
 125      43    55    56
 126     120   175   101
 127     121    92   162
 128      82    72    17
 129      74    73    25
 130      73    71   128
 131     124   121    89
 132      73    74    71
 133     235   234    65
 134      48    75    65
 135      80    90    95
 136      77    76    18
 137      61    77    18
 138      95   146   156
 139     137    81   140
 140      68     1   133
 141      77    14    79
 142     145    81    78
 143       1    68   138
 144      95    68   132
 145      45   137   140
 146      70    82    84
 147      34   134   137
 148      93   143   144
 149     140    82    45
 150      84   141    85
 151      94    86    88
 152      85    83    88
 153     124    89   104
 154      66    85    89
 155     168   167   190
 156     238   310   309
 157      93    88    83
 158      91    88    86
 159      97    85    88
 160     163    70   162
 161     137    78    81
 162      90    69   138
 163     112   122    87
 164     175   120    86
 165     109    92   123
 166     124   104    87
 167     140    81    83
 168     143    83    81
 169      93    94    88
 170     149   134   151
 171     149    78   134
